id,city,county,state,population,density
0,Adjuntas,Adjuntas,Puerto Rico,16834.0,100.9
1,Aguada,Aguada,Puerto Rico,37642.0,479.2
2,Aguadilla,Aguadilla,Puerto Rico,49075.0,551.7
3,Maricao,Maricao,Puerto Rico,5590.0,48.7
4,Anasco,Añasco,Puerto Rico,25542.0,265.7
5,Angeles,Utuado,Puerto Rico,1315.0,47.7
6,Arecibo,Arecibo,Puerto Rico,63312.0,321.1
7,Bajadero,Arecibo,Puerto Rico,9625.0,341.4
8,Barceloneta,Barceloneta,Puerto Rico,22573.0,474.8
9,Boqueron,Cabo Rojo,Puerto Rico,7577.0,93.9
10,Cabo Rojo,Cabo Rojo,Puerto Rico,39406.0,388.1
11,Penuelas,Peñuelas,Puerto Rico,21648.0,178.0
12,Camuy,Camuy,Puerto Rico,32733.0,272.6
13,Castaner,Lares,Puerto Rico,1431.0,176.8
14,Sabana Grande,Sabana Grande,Puerto Rico,22882.0,251.2
15,Ciales,Ciales,Puerto Rico,17605.0,95.2
16,Utuado,Utuado,Puerto Rico,24299.0,111.5
17,Dorado,Dorado,Puerto Rico,35926.0,658.9
18,Ensenada,Guánica,Puerto Rico,4702.0,114.8
19,Florida,Florida,Puerto Rico,13767.0,167.6
20,Garrochales,Arecibo,Puerto Rico,3924.0,235.2
21,Guanica,Guánica,Puerto Rico,8980.0,157.0
22,Guayanilla,Guayanilla,Puerto Rico,18121.0,166.0
23,Hatillo,Hatillo,Puerto Rico,37066.0,348.6
24,Hormigueros,Hormigueros,Puerto Rico,15483.0,528.2
25,Isabela,Isabela,Puerto Rico,40480.0,378.7
26,Jayuya,Jayuya,Puerto Rico,14967.0,123.2
27,Lajas,Lajas,Puerto Rico,23370.0,149.9
28,Lares,Lares,Puerto Rico,27529.0,165.8
29,Las Marias,Las Marías,Puerto Rico,8746.0,72.6
30,Manati,Manatí,Puerto Rico,39385.0,350.0
31,Moca,Moca,Puerto Rico,36683.0,289.9
32,Rincon,Rincón,Puerto Rico,15304.0,405.6
33,Quebradillas,Quebradillas,Puerto Rico,25039.0,331.8
34,Mayaguez,Mayagüez,Puerto Rico,43173.0,259.2
35,San German,San Germán,Puerto Rico,29547.0,231.5
36,San Sebastian,San Sebastián,Puerto Rico,40346.0,198.0
37,Morovis,Morovis,Puerto Rico,28659.0,284.7
38,Sabana Hoyos,Arecibo,Puerto Rico,11478.0,136.3
39,San Antonio,Aguadilla,Puerto Rico,5781.0,987.2
40,Vega Alta,Vega Alta,Puerto Rico,33302.0,484.7
41,Vega Baja,Vega Baja,Puerto Rico,55570.0,483.1
42,Yauco,Yauco,Puerto Rico,33506.0,206.4
43,Aguas Buenas,Aguas Buenas,Puerto Rico,24475.0,304.6
44,Aguirre,Salinas,Puerto Rico,6831.0,293.2
45,Aibonito,Aibonito,Puerto Rico,24401.0,309.9
46,Maunabo,Maunabo,Puerto Rico,10487.0,193.5
47,Arroyo,Arroyo,Puerto Rico,15797.0,406.5
48,Mercedita,Ponce,Puerto Rico,2040.0,62.0
49,Ponce,Ponce,Puerto Rico,27166.0,1210.1
50,Naguabo,Naguabo,Puerto Rico,23289.0,190.5
51,Naranjito,Naranjito,Puerto Rico,29523.0,404.1
52,Orocovis,Orocovis,Puerto Rico,20816.0,143.2
53,Patillas,Patillas,Puerto Rico,15978.0,134.1
54,Caguas,Caguas,Puerto Rico,77244.0,721.0
55,Canovanas,Canóvanas,Puerto Rico,47826.0,516.5
56,Ceiba,Ceiba,Puerto Rico,11164.0,157.5
57,Cayey,Cayey,Puerto Rico,45867.0,322.6
58,Fajardo,Fajardo,Puerto Rico,30093.0,392.3
59,Cidra,Cidra,Puerto Rico,34678.0,435.1
60,Puerto Real,Fajardo,Puerto Rico,2034.0,1880.9
61,Punta Santiago,Humacao,Puerto Rico,3627.0,615.1
62,Rio Grande,Río Grande,Puerto Rico,47494.0,301.9
63,Salinas,Salinas,Puerto Rico,19570.0,124.4
64,San Lorenzo,San Lorenzo,Puerto Rico,36576.0,282.5
65,Santa Isabel,Santa Isabel,Puerto Rico,20048.0,238.7
66,Vieques,Vieques,Puerto Rico,8199.0,67.0
67,Villalba,Villalba,Puerto Rico,22053.0,223.0
68,Yabucoa,Yabucoa,Puerto Rico,30779.0,215.4
69,Coamo,Coamo,Puerto Rico,34374.0,172.2
70,Las Piedras,Las Piedras,Puerto Rico,34964.0,401.8
71,Loiza,Loíza,Puerto Rico,17316.0,409.1
72,Luquillo,Luquillo,Puerto Rico,17716.0,283.8
73,Culebra,Culebra,Puerto Rico,1186.0,39.3
74,Juncos,Juncos,Puerto Rico,37726.0,542.4
75,Gurabo,Gurabo,Puerto Rico,40476.0,529.3
76,Coto Laurel,Ponce,Puerto Rico,13908.0,280.7
77,Comerio,Comerío,Puerto Rico,18639.0,257.2
78,Corozal,Corozal,Puerto Rico,34205.0,313.6
79,Guayama,Guayama,Puerto Rico,35917.0,207.8
80,La Plata,Aibonito,Puerto Rico,154.0,33.7
81,Humacao,Humacao,Puerto Rico,46537.0,421.4
82,Barranquitas,Barranquitas,Puerto Rico,28335.0,318.8
83,Juana Diaz,Juana Díaz,Puerto Rico,42900.0,277.3
84,St Thomas,St. Thomas,Virgin Islands,,
85,Christiansted,St. Croix,Virgin Islands,,
86,St John,St. John,Virgin Islands,,
87,Frederiksted,St. Croix,Virgin Islands,,
88,Kingshill,St. Croix,Virgin Islands,,
89,San Juan,San Juan,Puerto Rico,8220.0,3127.7
90,Fort Buchanan,Guaynabo,Puerto Rico,128.0,34.8
91,Toa Baja,Toa Baja,Puerto Rico,68031.0,1276.3
92,Sabana Seca,Toa Baja,Puerto Rico,8168.0,1422.4
93,Toa Alta,Toa Alta,Puerto Rico,66079.0,956.0
94,Bayamon,Bayamón,Puerto Rico,65841.0,927.1
95,Catano,Cataño,Puerto Rico,19614.0,1572.4
96,Guaynabo,Guaynabo,Puerto Rico,5148.0,2195.8
97,Trujillo Alto,Trujillo Alto,Puerto Rico,61638.0,1365.0
98,Carolina,Carolina,Puerto Rico,16890.0,1677.0
99,Agawam,Hampden,Massachusetts,16045.0,548.6
100,Amherst,Hampshire,Massachusetts,22992.0,166.7
101,Barre,Worcester,Massachusetts,4837.0,43.2
102,Belchertown,Hampshire,Massachusetts,15368.0,108.1
103,Blandford,Hampden,Massachusetts,1231.0,7.8
104,Bondsville,Hampden,Massachusetts,699.0,386.9
105,Brimfield,Hampden,Massachusetts,3699.0,40.5
106,Chester,Hampden,Massachusetts,1318.0,15.5
107,Chesterfield,Hampshire,Massachusetts,440.0,14.1
108,Chicopee,Hampden,Massachusetts,22895.0,1561.8
109,Cummington,Hampshire,Massachusetts,1073.0,14.8
110,Easthampton,Hampshire,Massachusetts,17711.0,168.5
111,East Longmeadow,Hampden,Massachusetts,16273.0,486.3
112,East Otis,Berkshire,Massachusetts,527.0,20.4
113,Feeding Hills,Hampden,Massachusetts,12561.0,403.2
114,Gilbertville,Worcester,Massachusetts,1697.0,97.3
115,Goshen,Hampshire,Massachusetts,484.0,19.4
116,Granby,Hampshire,Massachusetts,6096.0,84.6
117,Granville,Hampden,Massachusetts,2065.0,11.8
118,Hadley,Hampshire,Massachusetts,5295.0,88.6
119,Hampden,Hampden,Massachusetts,4966.0,97.8
120,Hardwick,Worcester,Massachusetts,582.0,12.1
121,Hatfield,Hampshire,Massachusetts,2469.0,103.4
122,Haydenville,Hampshire,Massachusetts,1728.0,40.5
123,Holyoke,Hampden,Massachusetts,38210.0,697.1
124,Huntington,Hampshire,Massachusetts,2714.0,25.3
125,Leeds,Hampshire,Massachusetts,1885.0,126.6
126,Leverett,Franklin,Massachusetts,1793.0,30.2
127,Ludlow,Hampden,Massachusetts,20883.0,296.5
128,Monson,Hampden,Massachusetts,8215.0,71.2
129,Northampton,Hampshire,Massachusetts,14724.0,523.1
130,Florence,Hampshire,Massachusetts,9491.0,210.0
131,North Hatfield,Hampshire,Massachusetts,134.0,41.0
132,Oakham,Worcester,Massachusetts,1585.0,28.2
133,Palmer,Hampden,Massachusetts,8516.0,117.2
134,Plainfield,Hampshire,Massachusetts,571.0,11.1
135,Russell,Hampden,Massachusetts,1259.0,31.0
136,Shutesbury,Franklin,Massachusetts,1413.0,28.6
137,Southampton,Hampshire,Massachusetts,6185.0,84.8
138,South Barre,Worcester,Massachusetts,694.0,1033.3
139,South Hadley,Hampshire,Massachusetts,17115.0,372.9
140,Southwick,Hampden,Massachusetts,9244.0,115.7
141,Thorndike,Hampden,Massachusetts,640.0,153.7
142,Three Rivers,Hampden,Massachusetts,2674.0,620.0
143,Wales,Hampden,Massachusetts,1716.0,45.8
144,Ware,Hampshire,Massachusetts,10533.0,86.5
145,Warren,Worcester,Massachusetts,2539.0,76.8
146,West Chesterfield,Hampshire,Massachusetts,99.0,4.6
147,Westfield,Hampden,Massachusetts,41592.0,268.9
148,West Hatfield,Hampshire,Massachusetts,725.0,53.3
149,West Springfield,Hampden,Massachusetts,28755.0,663.6
150,West Warren,Worcester,Massachusetts,1428.0,82.0
